name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,catalogNumber,recordedBy,institutionCode,eventTime,identifiedBy,identificationID,lifeStage,occurrenceRemarks,sex,identificationRemarks
"Cervus canadensis Erxleben, 1777",-122.99965,38.088309,"cdround,txmathi",gbif,3017976768,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:10.680+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-02T08:24:19,28300,California,2021,1,1,2021-01-01,2021-01-02T11:50:31.000+00:00,2021-12-08T05:02:10.680+00:00,https://www.inaturalist.org/observations/67446418,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,keetchwell,67446418,keetchwell,Coordinate uncertainty increased to 28300m to protect threatened taxon,Fri Jan 01 2021 16:24:00 GMT-0800 (PST),iNaturalist research-grade observations,Observations,"California, US",3017976768,https://www.inaturalist.org/observations/67446418,566549,67446418,keetchwell,iNaturalist,16:24:00Z,keetchwell,148724015,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-122.987777,38.395533,"cdround,txmathi",gbif,3017992757,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:03.243+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-02T05:26:00,28270,California,2021,1,1,2021-01-01,2021-01-02T06:34:53.000+00:00,2021-12-08T05:02:03.243+00:00,https://www.inaturalist.org/observations/67441769,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,walshjo4,67441769,walshjo4,Coordinate uncertainty increased to 28270m to protect threatened taxon,Fri Jan 01 2021 17:51:31 GMT-0800 (PST),iNaturalist research-grade observations,Observations,"California, US",3017992757,https://www.inaturalist.org/observations/67441769,566549,67441769,walshjo4,iNaturalist,01:51:31Z,walshjo4,148710719,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-122.986461,38.184133,"cdround,txmathi",gbif,3017999828,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:02:02.924+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-03T03:41:48,28300,California,2021,1,2,2021-01-02,2021-01-03T14:32:59.000+00:00,2021-12-08T05:02:02.924+00:00,https://www.inaturalist.org/observations/67495359,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,P Holroyd,67495359,pholroyd,Coordinate uncertainty increased to 28300m to protect threatened taxon,2021/01/02 12:51 PM PST,iNaturalist research-grade observations,Observations,"California, US",3017999828,https://www.inaturalist.org/observations/67495359,566549,67495359,P Holroyd,iNaturalist,20:51:00Z,P Holroyd,148859851,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-123.248766,43.81997,"cdround,txmathi",gbif,3018034893,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:50:09.686+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,NA,3444,Oregon,2021,1,3,2021-01-03,2021-01-10T06:29:07.000+00:00,2021-12-08T05:50:09.686+00:00,https://www.inaturalist.org/observations/67545771,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,edgar_alquicira,67545771,edgar_alquicira,NA,2021-01-03T14:14:02-08:00,iNaturalist research-grade observations,Observations,Lorane,3018034893,https://www.inaturalist.org/observations/67545771,566550,67545771,edgar_alquicira,iNaturalist,22:14:02Z,NA,NA,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-124.028592,41.347069,cdround,gbif,3018084086,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:02.293+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-05T19:26:15,NA,California,2021,1,2,2021-01-02,2021-01-05T20:30:34.000+00:00,2021-12-08T05:01:02.293+00:00,https://www.inaturalist.org/observations/67630228,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Phoebe,67630228,missworm,NA,2021-01-02 11:51:45 AM PST,iNaturalist research-grade observations,Observations,"Humboldt County, CA, USA",3018084086,https://www.inaturalist.org/observations/67630228,204114,67630228,Phoebe,iNaturalist,19:51:45Z,David Torres,149261419,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-122.879522,38.047263,cdround,gbif,3018140179,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:59:25.011+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-06T08:28:16,28300,California,2021,1,2,2021-01-02,2021-01-06T16:44:46.000+00:00,2021-12-08T05:59:25.011+00:00,https://www.inaturalist.org/observations/67656638,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,jcharles,67656638,jcharles,Coordinate uncertainty increased to 28300m to protect threatened taxon,2021/01/02 4:17 PM HST,iNaturalist research-grade observations,Observations,"California, US",3018140179,https://www.inaturalist.org/observations/67656638,204114,67656638,jcharles,iNaturalist,02:17:00Z,jcharles,149342107,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-83.347098,35.522356,cdround,gbif,3031606277,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:00.477+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-08T21:30:00,28677,North Carolina,2021,1,8,2021-01-08,2021-01-08T23:08:17.000+00:00,2021-12-08T05:01:00.477+00:00,https://www.inaturalist.org/observations/67764321,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Johnny Wilson,67764321,johnnybirder,Coordinate uncertainty increased to 28677m to protect threatened taxon,Fri Jan 08 2021 10:50:07 GMT-0500 (EST),iNaturalist research-grade observations,Observations,"North Carolina, US",3031606277,https://www.inaturalist.org/observations/67764321,204114,67764321,Johnny Wilson,iNaturalist,15:50:07Z,Johnny Wilson,149675202,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-122.922054,38.112274,cdround,gbif,3031674208,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:43.323+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-08T08:42:38,28300,California,2021,1,6,2021-01-06,2021-01-08T15:35:54.000+00:00,2021-12-08T05:01:43.323+00:00,https://www.inaturalist.org/observations/67741549,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Krissa Klein,67741549,graysquirrel,Coordinate uncertainty increased to 28300m to protect threatened taxon,2021/01/06 4:38 PM PST,iNaturalist research-grade observations,Observations,"Marin County, US-CA, US",3031674208,https://www.inaturalist.org/observations/67741549,204114,67741549,Krissa Klein,iNaturalist,00:38:00Z,Krissa Klein,149602754,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-105.62922,33.421233,cdround,gbif,3031686601,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:57:42.963+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-12T04:01:41,4,New Mexico,2021,1,11,2021-01-11,2021-01-12T05:03:49.000+00:00,2021-12-08T05:57:42.963+00:00,https://www.inaturalist.org/observations/67941746,http://creativecommons.org/licenses/by/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,CK Kelly,67941746,ck2az,NA,Mon Jan 11 2021 15:09:41 GMT-0700 (MST),iNaturalist research-grade observations,Observations,"Paso Monte Loop, Alto, NM, US",3031686601,https://www.inaturalist.org/observations/67941746,204114,67941746,CK Kelly,iNaturalist,22:09:41Z,CK Kelly,150178455,NA,NA,NA,NA
"Cervus canadensis Erxleben, 1777",-113.961728,46.878299,cdround,gbif,3031688749,"Cervus canadensis Erxleben, 1777",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:48:21.823+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,8600904,1,44,359,731,5298,2440948,2440958,4262380,"Cervus elaphus canadensis Erxleben, 1777",Animalia,Chordata,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus,canadensis,SPECIES,SYNONYM,LC,2021-01-25T01:05:31,200,Montana,2021,1,7,2021-01-07,2021-01-25T15:37:53.000+00:00,2021-12-08T05:48:21.823+00:00,https://www.inaturalist.org/observations/68577471,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,Cole Wolf,68577471,colejwolf,NA,2021/01/07 2:05 PM MST,iNaturalist research-grade observations,Observations,"Lower Rattlesnake, Missoula, MT 59802, USA",3031688749,https://www.inaturalist.org/observations/68577471,204114,68577471,Cole Wolf,iNaturalist,21:05:00Z,Cole Wolf,151984764,NA,NA,NA,NA
